name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
bangladesh,1/1/2015,80.6,64.4,71.2,80.8,64.4,71.2,60.3,70.3,0.068,100,41.67,rain,0,0,11,6.9,168.3,1013.9,86.2,1.6,63.7,5.3,4,,2015-01-01T06:40:46,2015-01-01T17:22:45,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
bangladesh,1/2/2015,83.2,69,75,83.5,69,75.1,61.6,64.6,0.056,100,20.83,rain,0,0,13,5.8,117.5,1014.7,65.9,2,158.4,13.7,6,,2015-01-02T06:41:04,2015-01-02T17:23:24,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/3/2015,84.2,69.8,75.5,85.9,69.8,75.7,63.7,67.9,0,0,0,,0,0,8.3,6.9,18.8,1013.7,77.8,1.9,121.8,10.6,5,,2015-01-03T06:41:20,2015-01-03T17:24:03,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/4/2015,80.6,69.6,74.3,82.3,69.6,74.4,65.7,75.3,0.052,100,20.83,rain,0,0,16.8,11.4,296.4,1011.8,79.4,2,116.2,9.9,4,,2015-01-04T06:41:36,2015-01-04T17:24:43,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
bangladesh,1/5/2015,77,64.4,69.8,77,64.4,69.8,59.2,70.3,0,0,0,,0,0,17.7,11.4,299.2,1012,44,2.4,143.8,12.4,5,,2015-01-05T06:41:50,2015-01-05T17:25:24,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/6/2015,75.2,60.5,67.2,75.2,60.5,67.2,53.3,63.2,0,0,0,,0,0,13.9,11.4,321.4,1013.4,13.2,2.3,140.4,12,6,,2015-01-06T06:42:03,2015-01-06T17:26:05,0.53,Clear,Clear conditions throughout the day.,clear-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/7/2015,73.4,57.3,64.7,73.4,57.3,64.7,53.4,69.3,0,0,0,,0,0,12.8,9.2,304,1013,20.2,1.6,171.7,14.8,6,,2015-01-07T06:42:14,2015-01-07T17:26:46,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/8/2015,73.4,56,64.7,73.4,56,64.7,54.9,72.1,0,0,0,,0,0,13,9.2,285.2,1013,29.4,1.4,166.2,14.2,7,,2015-01-08T06:42:24,2015-01-08T17:27:28,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
bangladesh,1/9/2015,75.2,58.4,64.3,75.2,58.4,64.3,57,78.4,0.004,100,4.17,rain,0,0,13,6.9,307.2,1013.3,28,0.9,158.7,13.7,6,,2015-01-09T06:42:33,2015-01-09T17:28:11,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"VGHS,41941099999,41923099999,41929099999,41922099999,41939099999,41909099999"
bangladesh,1/10/2015,80.5,58.8,64.6,80.2,58.8,64.6,55.4,74.1,0,0,0,,0,0,14.3,8.1,315.9,1014.7,20.5,1,191.6,16.4,7,,2015-01-10T06:42:40,2015-01-10T17:28:53,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"VGHS,41941099999,41929099999,41923099999,41922099999,41939099999,41909099999"
